model,target,prefix_fraction,features,accuracy,balanced_accuracy,macro_f1,weighted_f1,positive_rate,f1,auc
rule_baseline,current_wait_state,all,0,0.6894222222222223,0.5482643712420232,0.5467614553244201,0.6958073006617309,,,
history_only,current_wait_state,all,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442718,,,
history_only,is_deep_output,all,79,0.9068888888888889,0.8035914694144788,,,0.18033333333333335,0.7132101300479123,0.9539580773901264
history_only,is_overheat_debugging,all,79,0.9535555555555556,0.945246403385541,,,0.4042222222222222,0.9401146131805158,0.9839953501714978
history_only,current_wait_state,0.0,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442717,,,
history_only,current_wait_state,0.25,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442717,,,
history_only,current_wait_state,0.5,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442717,,,
history_only,current_wait_state,0.75,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442717,,,
history_only,current_wait_state,1.0,79,0.8276666666666667,0.8216254162185722,0.7845991932237213,0.8346127375442717,,,
history_plus_stream,current_wait_state,all,88,0.9373555555555556,0.9272002190017682,0.9038090417734796,0.9404955896092941,,,
history_plus_stream,is_deep_output,all,88,0.9824222222222222,0.962941344644906,,,0.18033333333333335,0.9503296703296703,0.9982102120702713
history_plus_stream,is_overheat_debugging,all,88,0.9994444444444445,0.9994895666961057,,,0.4042222222222222,0.9993130924577552,0.9999989234609439
history_plus_stream,current_wait_state,0.0,88,0.875,0.8585525601549099,0.818076299023829,0.8775918078071312,,,
history_plus_stream,current_wait_state,0.25,88,0.9492222222222222,0.9430614677971512,0.9212342365665218,0.951886948716597,,,
history_plus_stream,current_wait_state,0.5,88,0.9573333333333334,0.9495223035798211,0.9295893904293168,0.9590368366473997,,,
history_plus_stream,current_wait_state,0.75,88,0.9528888888888889,0.9431551134334482,0.9242016641370199,0.9542752536199716,,,
history_plus_stream,current_wait_state,1.0,88,0.9523333333333334,0.9417096500435103,0.9238641604278373,0.9533669655125854,,,
