feature,importance
recent_error_feedback_count_sum,0.0957583103476928
recent_error_feedback_count_mean,0.06862348464455724
recent_assistant_tokens_max,0.06535071439987983
current_turn,0.06086970831828228
cum_test_count_sum,0.058051432346384164
cum_error_feedback_count_sum,0.057332329176646504
recent_error_feedback_count_std,0.051488260007711076
recent_error_feedback_count_max,0.05119959762833887
cum_user_tokens_est_sum,0.04606765993569299
cum_assistant_tokens_sum,0.03644313102166153
recent_assistant_tokens_mean,0.035181622344823
recent_assistant_tokens_std,0.03501026306465046
nmf_basis_8_prefix_weight,0.03203862415486789
nmf_basis_4_prefix_weight,0.02417565254298851
nmf_basis_3_prefix_weight,0.02372270431012758
cum_edit_count_sum,0.02126769306904369
nmf_basis_1_prefix_weight,0.020985049605575533
recent_assistant_tokens_sum,0.02072774005153026
recent_thinking_tokens_est_mean,0.011196865462889971
nmf_basis_5_prefix_weight,0.011039895959813044
recent_thinking_tokens_est_max,0.00999473700947497
cum_thinking_tokens_est_sum,0.009893007881789203
recent_thinking_tokens_est_sum,0.00920439407799732
recent_test_count_sum,0.009182547582715674
recent_test_count_mean,0.009022578526600657
nmf_basis_7_prefix_weight,0.008960557696467628
recent_thinking_tokens_est_std,0.008360223236177286
recent_edit_count_mean,0.008011262340228276
recent_error_feedback_count_slope,0.007897824818008905
recent_edit_count_sum,0.006624494055585387
recent_assistant_tokens_slope,0.0065601854739774906
recent_test_count_std,0.0064248469234112
nmf_basis_6_prefix_weight,0.005797855655225051
recent_edit_count_std,0.005764895013230959
nmf_basis_2_prefix_weight,0.005689446688435137
recent_thinking_tokens_est_slope,0.005548826455349855
recent_test_count_max,0.005376253688185295
recent_error_feedback_count_last,0.005269596623659499
recent_edit_count_last,0.0050515536178444165
recent_user_tokens_est_std,0.004638111726128398
recent_user_tokens_est_max,0.0037623655119079606
recent_user_tokens_est_sum,0.0037561276316737274
recent_assistant_tokens_last,0.0035207010541475417
current_assistant_tokens,0.003480558122773915
recent_edit_count_slope,0.0031276070121403093
recent_user_tokens_est_mean,0.0028323278832529776
recent_edit_count_max,0.0026161145157104063
recent_user_tokens_est_slope,0.002269564024082917
recent_user_tokens_est_last,0.002267981828718271
recent_test_count_last,0.0011036099511564134
recent_test_count_slope,0.0009080484719280093
recent_thinking_tokens_est_last,0.0005510565088577618
