feature,importance_mean,importance_std
density_error_feedback_count_per_turn,0.02300184866172894,0.000920262808812411
recent_error_feedback_count_mean,0.01713386216532109,0.0005360970342044302
recent_test_count_mean,0.007448119792051455,0.0015924477412505023
current_assistant_tokens,0.005584827766528633,9.359795539848337e-05
cum_error_feedback_count_sum,0.0051114384216780495,0.00022804801194442614
cum_user_tokens_est_sum,0.003734466929991298,5.219854555760239e-06
predicted_future_user_tokens_est_sum,0.003482080018752942,0.0003776715893625271
density_user_tokens_est_per_turn,0.0030281119637400322,0.0007312452586321627
phase_observed_turns,0.0027687407400678876,0.0007496372813742824
recent_user_tokens_est_max,0.0024333181143395555,8.75285470496312e-05
recent_edit_count_slope,0.0022481848221267975,0.0007382254866726279
recent_error_feedback_count_last,0.00205995555984112,0.00027090146577762875
recent_test_count_slope,0.0018708767437622953,0.00033214694235295106
nmf_basis_6_prefix_weight,0.001771936402010954,0.0003610399401051123
recent_test_count_last,0.0017465641512283137,0.0008590173322370331
recent_assistant_tokens_mean,0.0016847101000607712,0.0003404627669816307
recent_assistant_tokens_slope,0.0012603620647960723,0.00013305319405920724
recent_user_tokens_est_std,0.0012464628746136075,0.0001312928205744468
cum_assistant_tokens_sum,0.0011648812041156753,0.0008831152523300356
nmf_basis_8_prefix_weight,0.0011365967809557342,0.0002463787687881358
reconstruction_future_normalized_mse,0.0010165278729940552,0.00039035771475387504
predicted_future_user_tokens_est_max,0.001003057544101349,0.0004909971640914002
density_test_count_per_turn,0.0009711911080733104,0.0004441981863921862
reconstruction_prefix_mae,0.0008923418966503838,0.0004380675121447575
nmf_basis_5_prefix_weight,0.0008197458912719835,0.00048007141218486815
reconstruction_vs_mean_delta,0.000806087680290446,0.0004796466352883222
predicted_future_thinking_tokens_est_sum,0.0007683315492159615,0.0005688742899241372
cum_test_count_sum,0.0007041739002632275,0.0001588502217384491
nmf_basis_4_prefix_weight,0.0006542789524909831,3.283852161822809e-05
predicted_future_assistant_tokens_max,0.0006424423808928381,0.0004804961890814141
recent_error_feedback_count_std,0.0006121525206538303,0.00036280031358992826
predicted_future_assistant_tokens_sum,0.0006120912547553092,0.00035314889237297864
predicted_future_thinking_tokens_est_max,0.0005382821845857921,9.189884781229951e-05
recent_thinking_tokens_est_slope,0.0004923327606796146,0.000576340560759725
recent_user_tokens_est_mean,0.0004910584299899212,5.426524853485715e-05
density_thinking_tokens_est_per_turn,0.0004818317856695731,0.0002735113930554811
recent_thinking_tokens_est_sum,0.0003938784617234514,6.130674247373236e-06
recent_assistant_tokens_max,0.0003929676420317274,0.00010063944933752511
recent_edit_count_last,0.00036371113328159677,2.6707847370910365e-05
nmf_basis_1_prefix_weight,0.000352115540884268,0.00047218036445267897
recent_thinking_tokens_est_max,0.00030811028815852515,0.0003089598419516171
nmf_basis_7_prefix_weight,0.00029627371656032464,0.0001378482717184215
recent_thinking_tokens_est_std,0.00027745691692154795,0.00015229477059447438
recent_edit_count_mean,0.0002406728714371975,2.7132624267400818e-05
recent_thinking_tokens_est_last,0.00019211352025322315,8.315824628735147e-06
recent_assistant_tokens_std,0.00017499582820074133,0.0002363025706745847
density_edit_count_per_turn,3.9757483760172185e-05,0.00040128346666046255
recent_test_count_std,2.7132624267400818e-05,6.039592278223038e-05
recent_assistant_tokens_last,0.0,0.0
predicted_future_peak_assistant_tokens,0.0,0.0
predicted_future_peak_user_tokens_est,0.0,0.0
predicted_future_peak_thinking_tokens_est,0.0,0.0
phase_prefix_ratio,0.0,0.0
recent_assistant_tokens_sum,0.0,0.0
recent_edit_count_sum,0.0,0.0
recent_error_feedback_count_sum,0.0,0.0
recent_user_tokens_est_sum,0.0,0.0
recent_edit_count_max,0.0,0.0
recent_test_count_sum,0.0,0.0
recent_test_count_max,0.0,0.0
nmf_basis_3_prefix_weight,-2.8892997752161254e-05,8.837810084277864e-05
recent_edit_count_std,-0.00014531454255400922,0.00014616409634710115
recent_user_tokens_est_last,-0.00019690859791243742,8.31582462870184e-05
cum_thinking_tokens_est_sum,-0.0002175470369344401,0.00032777664159033826
recent_thinking_tokens_est_mean,-0.00029056781920944186,0.00012340177284231313
cum_edit_count_sum,-0.00034404477984972814,0.00032559149120903186
recent_user_tokens_est_slope,-0.0005479336058026307,0.0010966554994998878
recent_error_feedback_count_slope,-0.0006179196839032342,0.000551393086873575
recent_error_feedback_count_max,-0.0011134096805543447,0.0001400334220997279
nmf_basis_2_prefix_weight,-0.0013343549326612636,0.0005597089115023102
density_assistant_tokens_per_turn,-0.0014014901042830874,0.0009041172023501187
