feature,importance_mean,importance_std
cum_thinking_tokens_est_sum,0.07595210750198755,0.00013861005714266295
predicted_future_user_tokens_est_sum,0.0700745634147274,0.0035643959199537223
predicted_future_assistant_tokens_sum,0.043525480250790116,0.0033121366837879918
density_assistant_tokens_per_turn,0.025194030779296717,0.000826097300007711
reconstruction_future_normalized_mse,0.016867175041405336,0.0001879492958061224
density_user_tokens_est_per_turn,0.014143177227943338,0.0022257414050697033
recent_assistant_tokens_std,0.010241532757526373,0.00103926960684253
reconstruction_vs_mean_delta,0.0102002905131654,0.00034263683803870126
density_edit_count_per_turn,0.009110254499598791,0.00046959654366685033
recent_assistant_tokens_max,0.008184371938870227,0.0010012894609056078
predicted_future_thinking_tokens_est_max,0.007056384905245405,0.0009439114796971904
cum_edit_count_sum,0.005458830453832553,0.00017021163562547237
recent_edit_count_mean,0.004373279825598875,0.00018684251241229966
predicted_future_thinking_tokens_est_sum,0.0036250651254649546,0.00033570487888762157
nmf_basis_8_prefix_weight,0.002615533040862983,0.000132784881385406
nmf_basis_3_prefix_weight,0.0015856419669894595,0.0007822919783135318
current_assistant_tokens,0.0013519650414892115,0.0006023814250523674
recent_thinking_tokens_est_mean,0.000804748030857616,0.00013223148968843912
recent_test_count_mean,0.000752350574921623,0.0003121420429497146
cum_user_tokens_est_sum,0.0006728077999569315,0.0003667530656734641
density_thinking_tokens_est_per_turn,0.0006295849958385391,0.0010669974434468488
predicted_future_assistant_tokens_max,0.0005372268342080933,0.0003282195280396305
nmf_basis_6_prefix_weight,0.0005189357823304208,0.00042136408839732464
predicted_future_user_tokens_est_max,0.00048622742045378864,0.00018739590410921103
density_test_count_per_turn,0.00044658709942596575,7.068850781360991e-05
recent_user_tokens_est_std,0.0002963558166476643,0.0004776352862118083
recent_test_count_last,0.00024200692683296054,5.4611022723749514e-05
nmf_basis_1_prefix_weight,0.00023507496768193636,1.5524093392893512e-05
recent_error_feedback_count_slope,0.000117260787992568,0.0003057634754956018
recent_thinking_tokens_est_slope,0.00010811526205373179,4.7125671875758446e-05
recent_edit_count_std,7.8173858661712e-05,0.0
recent_test_count_sum,0.0,0.0
recent_assistant_tokens_sum,0.0,0.0
recent_error_feedback_count_sum,0.0,0.0
recent_user_tokens_est_sum,0.0,0.0
recent_edit_count_max,0.0,0.0
predicted_future_peak_user_tokens_est,0.0,0.0
recent_assistant_tokens_last,0.0,0.0
predicted_future_peak_assistant_tokens,0.0,0.0
recent_edit_count_sum,0.0,0.0
recent_test_count_max,0.0,0.0
recent_thinking_tokens_est_sum,0.0,0.0
recent_edit_count_last,0.0,0.0
recent_error_feedback_count_mean,-7.485350847935557e-06,0.0002730551136188586
recent_thinking_tokens_est_last,-5.350423932987125e-05,0.00010173669459950796
recent_user_tokens_est_mean,-8.897955969122684e-05,0.0004914992045139677
recent_error_feedback_count_max,-9.369795205460552e-05,1.5524093392893512e-05
recent_assistant_tokens_slope,-9.591151884236204e-05,1.5524093393004534e-05
recent_thinking_tokens_est_std,-0.000132784881385406,7.485350847991068e-06
predicted_future_peak_thinking_tokens_est,-0.0001397168405364857,9.369795205460552e-05
recent_edit_count_slope,-0.00019543464665416899,0.00039890803585329593
recent_test_count_std,-0.00021899748259207596,6.264976526876298e-05
nmf_basis_4_prefix_weight,-0.00025391941125640916,0.000343743621432524
reconstruction_prefix_mae,-0.00030433630743509354,5.533916969113761e-07
recent_error_feedback_count_std,-0.0003972478607624508,8.565920950964756e-05
recent_error_feedback_count_last,-0.00042136408839726913,7.762046696474512e-05
recent_thinking_tokens_est_max,-0.0004931593796047573,6.931959151079692e-06
recent_user_tokens_est_last,-0.0005316929172386464,0.00020291999750210454
nmf_basis_7_prefix_weight,-0.0005732555462663602,0.00018407555392757624
phase_observed_turns,-0.0006506138803220041,4.0193712724734265e-05
cum_error_feedback_count_sum,-0.0007587291423756803,0.0004920525962109346
recent_user_tokens_est_slope,-0.000843834960188361,0.000234521575985025
cum_test_count_sum,-0.0008748831469742591,0.0
recent_test_count_slope,-0.0009231156022438958,0.0002816472478607279
nmf_basis_5_prefix_weight,-0.0010681042268407825,0.0004288494392452602
density_error_feedback_count_per_turn,-0.0011609575284105556,6.098959017791783e-05
recent_user_tokens_est_max,-0.0016884854449829012,0.00035178236397748197
recent_assistant_tokens_mean,-0.0019784335682975773,0.0004582374509403686
phase_prefix_ratio,-0.002038607633869538,3.049479508898667e-05
cum_assistant_tokens_sum,-0.003058421153683044,0.0004914992045139677
nmf_basis_2_prefix_weight,-0.0033866115558438548,0.00214701415471108
