task,split,prefix_ratio,mse,mae,normalized_mse,r2
full_reconstruction,train,1.0,0.052434846130609225,0.11974193570261926,0.30071567418512674,0.10326721119294846
full_reconstruction,test,1.0,0.05335179901412115,0.12028270490817784,0.3043273396153463,0.10049984358635251
future_curve_prediction_unsupervised_nmf,test,0.25,0.12445492558937962,0.18033872505593107,0.7517357311366014,-0.30194251454874865
future_curve_prediction_mean_template,test,0.25,0.07538742018973596,0.15080968167379866,0.4553569669216002,-0.00017336760482463778
future_curve_prediction_prefix_ridge_nmf,test,0.25,0.07483799610639302,0.15290535993210733,0.4520383219339477,0.009109630462210496
future_curve_prediction_unsupervised_nmf,test,0.5,0.07454073490295068,0.15488370237278407,0.47472417218842544,-0.13919733967671835
future_curve_prediction_mean_template,test,0.5,0.05694355536426798,0.14294183578274544,0.36265381897513077,-0.0002024439413488959
future_curve_prediction_prefix_ridge_nmf,test,0.5,0.05536796263177048,0.14223812771858543,0.35261941353742204,0.012629583624063266
future_curve_prediction_unsupervised_nmf,test,0.75,0.05296260661306825,0.14127717801673195,0.3450158691514042,-0.047417370154096035
future_curve_prediction_mean_template,test,0.75,0.04824986688073593,0.1414805290597819,0.3143155298211683,-0.00025665664939484206
future_curve_prediction_prefix_ridge_nmf,test,0.75,0.04890075958440281,0.14050592214760566,0.31855565934350427,-0.0038524894568117696
